"Self Certification Test Report"
"Service\Protocol Name","Total","Failed","Passed"
"ConsoleSupportTest\GraphicsOutputProtocolTest","20","4","16"
"Total service\Protocol","20","4","16"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID","Device Path","Logfile Name"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.1.5","0","0","E7782DC5-2B78-460F-B102-88D51206451F","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.QueryMode  CallQueryMode() with a valid ModeNumber. The returned status should be EFI_SUCCESS.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestConformance.c:237:,size_out:36,ModeNumber:0,Status:Success, Expected:any value except Invalid Parameter","0x00010000","9FCAAF30-BA66-44BD-BC4F-565B8E02E898"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.1.6","0","0","486360F1-6B8E-48B5-8BA8-AE40EB3B07A2","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.QueryMode  CallQueryMode() with valid parameters","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestConformance.c:251:,ModeNumber:0,dump of info: version:0, horizonResolution:1024, VerticalResolution:768, PixelFormat:1, RedMask:0,GreenMask:0,BlueMask:0,ReserveMask:0,PixelPerScanline:1024","0x00010000","9FCAAF30-BA66-44BD-BC4F-565B8E02E898"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.1.7","0","0","DC19AB69-764E-429B-A53F-B81ED63CD6C0","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.QueryMode  CallQueryMode()to Check the mode structure and dump it.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestConformance.c:281:, dump of Mode: MaxMode:1, current mode:0, Info addre:7D7DA2C, sizeofInfo:36, frameBufferBase:0, FrameBufferSize:0","0x00010000","9FCAAF30-BA66-44BD-BC4F-565B8E02E898"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.2.2","0","0","128E953B-E6EC-4F93-A8EC-72C59B8A4043","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.SetMode  CallSetMode()with valid ModeNumber.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestConformance.c:509: mode:0,Status = Success,Expected = not EFI_UNSUPPORTED ","0x00010000","8B191407-7AEC-4826-A6A8-27FDDB67F135"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.2.3","0","0","4F13E7BA-B35A-4BF7-B1C0-FE399C4997FE","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.SetMode CallQueryMode() with the ModeNumber the SetMode() set ,then compare the InfostructureQueryMode()returns with current mode of graphic device in order to verify whether they are same, and at last dump the Infostructure.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestConformance.c:547: dump of query result:ver:0, hRes:1024, VRes:768, PixelFmt:1, RMsk:0,GMsk:0,BMsk:0,ReserveMask:0,PixelPerScanline:1024","0x00010000","8B191407-7AEC-4826-A6A8-27FDDB67F135"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.2.4","0","0","8776B9DC-711E-4E36-9921-7EA7C4C7EE6D","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.SetMode  CallSetMode()with valid MaxMode.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestConformance.c:590: mode:1,Status = Unsupported,Expected =  EFI_UNSUPPORTED ","0x00010000","8B191407-7AEC-4826-A6A8-27FDDB67F135"
 
map -v
Mapping table
      FS0: Alias(s):HD0a0b:;BLK1:
