"Self Certification Test Report"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.3.8","0","0","07D1D0C1-3884-4310-97BC-16D6AA1A2180","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.Blt EfiBltVideoToVideo operation should copy data from video display rectangle to another.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestFunction.c:1783: Status = Success,Source=(0x0), Destination=(0x0), Width=512, Height=384, Delta=0","0x00010000","734F7F92-AA5E-407B-ABB5-08F73AABDDDD"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.3.9","0","0","11AF616A-BEF5-4590-BE85-1952A00DE1AF","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.Blt CallBlt()with invalid BltOperation","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestConformance.c:417: Status = Invalid Parameter,Expected = Invalid Parameter, Source=(0x0), Destination=(0x0), Width=1, Height=1, Delta=0,BltOperation=4","0x00010000","2CE3AB58-A0EA-427C-9EE6-0A5F52557E5D"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.1.2","0","0","82DFD41E-49DB-4C86-99BB-C574334BA0C3","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.QueryMode  CallQueryMode() with MaxMode.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestConformance.c:142:maxmode: 1,Status:Invalid Parameter, Expected:Invalid Parameter","0x00010000","9FCAAF30-BA66-44BD-BC4F-565B8E02E898"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.1.3","0","0","8EBCD9AB-69A9-48A2-9BBC-8C479E689156","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.QueryMode  CallQueryMode() with a SizeOfInfo value of NULL","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestConformance.c:172: Input invalide &SizeofInfo,Status:Invalid Parameter, Expected:Invalid Parameter","0x00010000","9FCAAF30-BA66-44BD-BC4F-565B8E02E898"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.1.4","0","0","394E306B-652A-403A-BD15-DB9B46C3443B","PASS","ConsoleContro.QueryMode  CallQueryMode() with an Info value of NULL.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestConformance.c:199:, Input invalid &Info, Status:Invalid Parameter, Expected:Invalid Parameter","0x00010000","9FCAAF30-BA66-44BD-BC4F-565B8E02E898"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.1.5","0","0","E7782DC5-2B78-460F-B102-88D51206451F","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.QueryMode  CallQueryMode() with a valid ModeNumber. The returned status should be EFI_SUCCESS.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestConformance.c:237:,size_out:36,ModeNumber:0,Status:Success, Expected:any value except Invalid Parameter","0x00010000","9FCAAF30-BA66-44BD-BC4F-565B8E02E898"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.1.6","0","0","486360F1-6B8E-48B5-8BA8-AE40EB3B07A2","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.QueryMode  CallQueryMode() with valid parameters","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestConformance.c:251:,ModeNumber:0,dump of info: version:0, horizonResolution:1024, VerticalResolution:768, PixelFormat:1, RedMask:0,GreenMask:0,BlueMask:0,ReserveMask:0,PixelPerScanline:1024","0x00010000","9FCAAF30-BA66-44BD-BC4F-565B8E02E898"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.1.7","0","0","DC19AB69-764E-429B-A53F-B81ED63CD6C0","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.QueryMode  CallQueryMode()to Check the mode structure and dump it.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestConformance.c:281:, dump of Mode: MaxMode:1, current mode:0, Info addre:7D3E19C, sizeofInfo:36, frameBufferBase:D0000000, FrameBufferSize:300000","0x00010000","9FCAAF30-BA66-44BD-BC4F-565B8E02E898"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.1.1","0","0","D1824539-92CD-434C-8165-872CC21A5F9E","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.QueryMode returns EFI_SUCCESS with valid parameter","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestFunction.c:179: dump of query result:ver:0, hRes:1024, VRes:768, PixelFmt:1, RMsk:0,GMsk:0,BMsk:0,ReserveMask:0,PixelPerScanline:1024","0x00010000","00097A6F-F44A-45E0-A250-CE43805C8C6E"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.2.2","0","0","128E953B-E6EC-4F93-A8EC-72C59B8A4043","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.SetMode  CallSetMode()with valid ModeNumber.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestConformance.c:509: mode:0,Status = Success,Expected = not EFI_UNSUPPORTED ","0x00010000","8B191407-7AEC-4826-A6A8-27FDDB67F135"
