"Self Certification Test Report"
"Service\Protocol Name","Total","Failed","Passed"
"BootServicesTest\ProtocolHandlerServicesTest","146","6","140"
"Total service\Protocol","146","6","140"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID","Device Path","Logfile Name"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.7","0","0","390D6E25-F39A-40D7-B1DD-7ECF00F6BE43","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with driver handle at EFI_TPL_CALLBACK.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12287:Status - Success, TPL - 8","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.10","0","0","3DA1683E-49F1-4C2F-82C3-8440B673ACBB","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with driver handle at EFI_TPL_CALLBACK.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12319:Status - Success, TPL - 8","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.8","0","0","08B89696-AE6B-4A9C-A5FB-8D951F018B08","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with driver handle at EFI_TPL_NOTIFY.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12287:Status - Success, TPL - 16","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.11","0","0","13E0DA6E-E60F-4BBA-BCB8-6BE02FD6ECB5","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with driver handle at EFI_TPL_NOTIFY.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12319:Status - Success, TPL - 16","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.12","0","0","ED970FB7-B2A8-41E9-95C7-78E6290E8DF1","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle at EFI_TPL_APPLICATION.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12536:Status - Success, TPL - 4","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.15","0","0","D1CCB8E6-0B71-4369-82EC-88209E63EC4C","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle at EFI_TPL_APPLICATION.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12574:Status - Success, TPL - 4","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.18","0","0","2B2076C7-6555-473C-BDA3-E6FE2E62238E","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle at EFI_TPL_APPLICATION.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12612:ExpectedHandleCount - 10, NoHandles - 10, TPL - 4","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.21","0","0","93F764F7-890C-4939-B75B-C22A0B6015BF","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle and device path at EFI_TPL_APPLICATION.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12648:Status - Success, TPL - 4","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.24","0","0","4638F45F-707C-4CD5-80CD-9DF0EBDCC34A","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle and device path at EFI_TPL_APPLICATION.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12672:TPL - 4","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.13","0","0","8ABCAC46-E840-496A-8A8C-A6C4802A4F9F","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle at EFI_TPL_CALLBACK.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12536:Status - Success, TPL - 8","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
